,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
94,浦东,53734,德州二村,中区/5层,295,2室1厅,1987,世博,/ershoufang/sh4795628.html,54.9
95,杨浦,73914,大运盛城,中区/10层,960,3室2厅,2001,控江路,/ershoufang/sh4795550.html,129.88
96,静安,10144,中凯城市之光（静安）,中区/34层,850,2室1厅,2003,南京西路,/ershoufang/sh4795464.html,83.79
97,杨浦,53254,民星一村,低区/6层,207,1室1厅,1988,中原,/ershoufang/sh4795223.html,38.87
98,徐汇,64905,金轩公寓,中区/20层,990,3室2厅,1997,徐家汇,/ershoufang/sh4795179.html,152.53
99,浦东,61097,地杰国际城（E欧泊时光）,中区/26层,520,2室1厅,2007,御桥,/ershoufang/sh4795017.html,85.11
100,浦东,70481,汤臣豪园（一期）,高区/5层,1350,4室2厅,2002,张江,/ershoufang/sh4794165.html,191.54
101,宝山,45990,采菊苑,中区/11层,355,2室2厅,2008,顾村,/ershoufang/sh4794081.html,77.19
102,闵行,40947,新华小区,中区/6层,230,2室1厅,1992,老闵行,/ershoufang/sh4793813.html,56.17
103,虹口,59799,新三小区,低区/6层,310,2室1厅,1982,江湾镇,/ershoufang/sh4793294.html,51.84
104,浦东,50146,华陇建中小区,高区/6层,325,2室1厅,1994,张江,/ershoufang/sh4793113.html,64.81
105,虹口,61281,玉田新村,低区/7层,220,1室0厅,1958,曲阳,/ershoufang/sh4792882.html,35.9
106,静安,93603,达安城,中区/28层,1200,3室2厅,1998,南京西路,/ershoufang/sh4792812.html,128.2
107,长宁,92998,天山星城,低区/18层,700,2室1厅,2006,天山,/ershoufang/sh4792312.html,75.27
108,杨浦,64444,控江路740弄,中区/5层,290,2室0厅,1979,控江路,/ershoufang/sh4790527.html,45.0
109,杨浦,65518,友谊新村,高区/6层,350,2室0厅,1985,周家嘴路,/ershoufang/sh4790276.html,53.42
110,闵行,46987,世博家园十一街坊,中区/5层,365,2室2厅,2006,浦江,/ershoufang/sh4789664.html,77.68
111,宝山,44887,荣域飘鹰锦和花园（公寓）,低区/14层,410,2室2厅,2011,杨行,/ershoufang/sh4789585.html,91.34
112,虹口,59396,新中新村,中区/7层,250,1室1厅,1998,凉城,/ershoufang/sh4789353.html,42.09
113,杨浦,52484,三门路358弄,中区/7层,225,1室1厅,1994,五角场,/ershoufang/sh4788966.html,42.87
114,闵行,51107,静安新城（三区）,高区/6层,360,2室1厅,1997,静安新城,/ershoufang/sh4788494.html,70.44
115,徐汇,69427,漕溪大楼,中区/14层,560,3室1厅,1975,徐家汇,/ershoufang/sh4788232.html,80.66
116,普陀,66585,曹杨七村,中区/6层,550,3室1厅,1988,曹杨,/ershoufang/sh4786106.html,82.6
117,杨浦,75606,辽源三村,低区/6层,212,1室0厅,1986,鞍山,/ershoufang/sh4785091.html,28.04
118,普陀,63891,万里名轩,高区/10层,640,2室2厅,1999,万里,/ershoufang/sh4785020.html,100.17
119,宝山,64801,宝宸怡景园,低区/14层,572,2室2厅,2009,共康,/ershoufang/sh4784999.html,88.27
120,浦东,73944,金旋小区,低区/6层,275,1室0厅,1995,北蔡,/ershoufang/sh4784640.html,37.19
121,普陀,42903,桃浦七村雪松苑,中区/6层,185,1室1厅,1995,桃浦,/ershoufang/sh4784325.html,43.12
122,闸北,64062,三兴小区,低区/7层,205,1室1厅,1993,不夜城,/ershoufang/sh4784246.html,32.0
123,长宁,62811,星火大楼,高区/23层,630,2室1厅,1997,中山公园,/ershoufang/sh4784243.html,100.3
124,宝山,46974,荣域飘鹰锦和花园（公寓）,中区/18层,420,2室2厅,2011,杨行,/ershoufang/sh4784023.html,89.41
125,嘉定,44266,水岸秀苑,中区/5层,332,2室2厅,2005,江桥,/ershoufang/sh4783973.html,75.0
126,静安,12602,中凯城市之光（静安）,中区/29层,1500,2室2厅,2004,南京西路,/ershoufang/sh4783769.html,119.02
127,杨浦,76499,大运盛城,中区/16层,750,2室2厅,2002,控江路,/ershoufang/sh4782998.html,98.04
128,闸北,56975,三泉安居苑,中区/6层,350,2室1厅,1996,彭浦,/ershoufang/sh4782120.html,61.43
129,宝山,51795,淞南四村,中区/6层,212,1室1厅,1996,淞南,/ershoufang/sh4781915.html,40.93
130,浦东,54524,品华苑,低区/6层,370,1室1厅,1999,三林,/ershoufang/sh4781767.html,67.86
131,宝山,69111,和欣国际花园,高区/18层,620,2室2厅,2009,共康,/ershoufang/sh4781713.html,89.71
132,黄浦,87888,紫荆新苑,高区/6层,820,2室2厅,1998,世博滨江,/ershoufang/sh4781290.html,93.3
133,徐汇,67507,花苑村丁香园,中区/6层,380,2室1厅,1992,康健,/ershoufang/sh4780973.html,56.29
134,浦东,80128,久阳滨江公寓,中区/25层,625,2室1厅,2006,陆家嘴,/ershoufang/sh4780804.html,78.0
135,杨浦,72291,国顺路310弄,中区/6层,365,2室1厅,1980,五角场,/ershoufang/sh4780534.html,50.49
136,杨浦,59337,市京一村,低区/6层,360,2室1厅,1995,中原,/ershoufang/sh4780493.html,60.67
137,闵行,49846,金汇名人苑三街坊,中区/7层,780,4室2厅,1996,金汇,/ershoufang/sh4780270.html,156.48
138,浦东,74856,花木苑,高区/6层,560,2室1厅,2000,花木,/ershoufang/sh4780077.html,74.81
139,浦东,67104,竹园高层,低区/22层,470,2室1厅,1993,源深,/ershoufang/sh4779651.html,70.04
140,宝山,51809,葑润华庭,低区/6层,315,2室1厅,2008,上大,/ershoufang/sh4779580.html,60.8
141,徐汇,72282,龙华雅居,中区/7层,780,3室2厅,1998,龙华,/ershoufang/sh4779009.html,107.91
142,长宁,79012,中华别墅,高区/4层,640,2室2厅,1985,虹桥,/ershoufang/sh4778384.html,81.0
143,黄浦,10683,中福花苑,中区/15层,730,3室2厅,2003,蓬莱公园,/ershoufang/sh4778315.html,68.33
144,宝山,56689,大华二村,低区/6层,350,2室1厅,1996,大华,/ershoufang/sh4777738.html,61.74
145,徐汇,95615,徐家汇花园,中区/26层,1520,3室2厅,unknow,徐家汇,/ershoufang/sh4777352.html,158.97
146,浦东,78141,新昌里公寓,低区/6层,740,3室2厅,2005,世博,/ershoufang/sh4777291.html,94.7
147,闸北,45852,平顺小区,高区/6层,225,2室1厅,1986,彭浦,/ershoufang/sh4776685.html,49.07
148,徐汇,65020,茶陵小区,低区/4层,295,1室1厅,1958,斜土路,/ershoufang/sh4776144.html,45.37
149,闵行,67381,上海阳城,高区/6层,628,2室2厅,2003,梅陇,/ershoufang/sh4775811.html,93.2
150,普陀,89040,苏堤春晓名苑,中区/16层,1780,4室2厅,2005,长寿路,/ershoufang/sh4774723.html,199.91
151,黄浦,76720,南园小区,中区/29层,495,2室1厅,1994,打浦桥,/ershoufang/sh4774671.html,64.52
152,浦东,58187,由由三村,中区/5层,420,2室1厅,1994,北蔡,/ershoufang/sh4773843.html,72.18
153,虹口,73546,西南小区,高区/6层,248,1室1厅,1979,曲阳,/ershoufang/sh4773814.html,33.72
154,虹口,76312,馨虹苑,中区/18层,760,2室2厅,2003,北外滩,/ershoufang/sh4773537.html,99.59
155,浦东,69299,桃李家园,中区/5层,630,2室2厅,2005,三林,/ershoufang/sh4773453.html,90.91
156,松江,38050,人乐四村,中区/6层,196,2室1厅,1982,松江老城,/ershoufang/sh4772048.html,51.51
157,宝山,48610,共康五村,低区/6层,320,2室1厅,1994,共康,/ershoufang/sh4771626.html,65.83
158,杨浦,61700,延吉六村,低区/12层,270,1室1厅,1987,黄兴公园,/ershoufang/sh4770581.html,43.76
159,浦东,66273,东方丽景,低区/13层,640,2室2厅,2005,金桥,/ershoufang/sh4770058.html,96.57
160,浦东,13061,桃林一小区,中区/6层,500,1室1厅,1995,源深,/ershoufang/sh4769613.html,38.28
161,松江,39107,新凯家园,中区/6层,305,2室2厅,2006,泗泾,/ershoufang/sh4769536.html,77.99
162,普陀,55954,双山小区,高区/6层,195,1室0厅,1995,甘泉宜川,/ershoufang/sh4769488.html,34.85
163,闵行,54708,平阳新村四街坊,低区/6层,330,2室1厅,1998,古美,/ershoufang/sh4769388.html,60.32
164,普陀,77615,金沙雅苑（三期）,中区/18层,750,2室2厅,2004,长征,/ershoufang/sh4769311.html,96.63
165,闵行,56943,静安新城（四区）,低区/24层,490,2室1厅,1998,静安新城,/ershoufang/sh4769231.html,86.05
166,普陀,48204,桃浦六村绿春苑,中区/6层,204,1室1厅,1994,桃浦,/ershoufang/sh4769184.html,42.32
167,宝山,45140,祁连四村,中区/6层,340,2室1厅,1998,上大,/ershoufang/sh4768952.html,75.32
168,长宁,80181,百花村,高区/6层,600,3室1厅,1981,新华路,/ershoufang/sh4768874.html,74.83
169,宝山,46518,世华佳苑,高区/6层,628,3室2厅,2005,杨行,/ershoufang/sh4768245.html,135.0
170,宝山,51546,经纬阳光水岸家园（一期）,中区/11层,570,2室2厅,2005,上大,/ershoufang/sh4767705.html,110.58
171,闸北,58382,彭新小区,中区/13层,249,1室1厅,1987,彭浦,/ershoufang/sh4767649.html,42.65
172,宝山,47132,环镇北路400弄,低区/6层,212,1室1厅,1995,大场镇,/ershoufang/sh4766345.html,44.98
173,闸北,45475,三泉路332弄,高区/6层,200,1室1厅,1990,彭浦,/ershoufang/sh4766064.html,43.98
174,松江,39856,新凯家园,低区/6层,310,2室1厅,2006,泗泾,/ershoufang/sh4765219.html,77.78
175,长宁,74571,云阳花苑,高区/16层,605,2室2厅,1998,新华路,/ershoufang/sh4765179.html,81.13
176,虹口,65476,祥德路143弄,高区/6层,275,1室0厅,1991,鲁迅公园,/ershoufang/sh4764856.html,42.0
177,浦东,55707,浦发绿城,低区/6层,305,1室1厅,2004,三林,/ershoufang/sh4764783.html,54.75
178,虹口,71942,蒋家桥小区,低区/6层,280,1室0厅,1986,曲阳,/ershoufang/sh4764647.html,38.92
179,松江,34901,新凯家园,低区/5层,325,3室2厅,2006,泗泾,/ershoufang/sh4764011.html,93.12
180,闸北,66716,上大东村,中区/6层,445,3室0厅,1987,闸北公园,/ershoufang/sh4763659.html,66.7
181,浦东,67010,环球翡翠湾花园（公寓）,中区/14层,650,2室2厅,2006,三林,/ershoufang/sh4763429.html,97.0
182,普陀,65222,曹杨九村,中区/6层,280,2室0厅,1978,曹杨,/ershoufang/sh4763408.html,42.93
183,徐汇,99270,徐家汇花园,低区/22层,1020,2室2厅,2000,徐家汇,/ershoufang/sh4763168.html,102.75
184,虹口,70323,欧阳路317号,中区/6层,300,2室0厅,1998,鲁迅公园,/ershoufang/sh4763068.html,42.66
185,嘉定,51433,缘圆宝邸,中区/7层,375,2室2厅,2008,江桥,/ershoufang/sh4762512.html,72.91
